"","Location","slope_pos","date","week","year"
"363","MD",0,2023-12-09,50,2023
"364","MD",1,2023-12-23,52,2023
"365","MD",1,2024-01-06,1,2024
"366","MD",1,2024-01-20,3,2024
"367","MD",0,2024-02-03,5,2024
"368","MD",0,2024-02-17,7,2024
"369","MD",0,2024-03-02,9,2024
"370","MD",0,2024-03-16,11,2024
"371","MD",0,2024-03-30,13,2024
"372","MD",0,2024-04-13,15,2024
"373","MD",0,2024-04-27,17,2024
"374","MD",0,2024-05-11,19,2024
"375","MD",0,2024-05-25,21,2024
"376","MD",0,2024-06-08,23,2024
"377","MD",0,2024-06-22,25,2024
"378","MD",0,2022-12-24,52,2022
"379","MD",1,2023-01-07,2,2023
"380","MD",1,2023-01-21,4,2023
"381","MD",1,2023-02-04,6,2023
"382","MD",1,2023-02-18,8,2023
"383","MD",1,2023-03-04,10,2023
"384","MD",1,2023-03-18,12,2023
"385","MD",0,2023-04-01,14,2023
"386","MD",0,2023-04-15,16,2023
"387","MD",0,2023-04-29,18,2023
"388","MD",0,2023-05-13,20,2023
"389","MD",0,2023-05-27,22,2023
"390","MD",0,2023-06-10,24,2023
"391","MD",0,2023-06-24,26,2023
"392","MD",0,2023-07-08,28,2023
"393","MD",0,2023-07-22,30,2023
"394","MD",0,2023-08-05,32,2023
"395","MD",1,2022-07-02,27,2022
"396","MD",1,2022-07-16,29,2022
"397","MD",1,2022-07-30,31,2022
"398","MD",1,2022-08-13,33,2022
"399","MD",1,2022-08-27,35,2022
"400","MD",0,2022-09-10,37,2022
"401","MD",0,2022-09-24,39,2022
"402","MD",0,2022-10-08,41,2022
"403","MD",0,2022-10-22,43,2022
"404","MD",0,2022-11-05,45,2022
"405","MD",0,2022-11-19,47,2022
"406","MD",0,2022-12-03,49,2022
"407","MD",0,2022-12-17,51,2022
"408","MD",1,2023-12-16,51,2023
"409","MD",1,2023-12-30,53,2023
"410","MD",1,2024-01-13,2,2024
"411","MD",1,2024-01-27,4,2024
"412","MD",0,2024-02-10,6,2024
"413","MD",0,2024-02-24,8,2024
"414","MD",0,2024-03-09,10,2024
"415","MD",0,2024-03-23,12,2024
"416","MD",0,2024-04-06,14,2024
"417","MD",0,2024-04-20,16,2024
"418","MD",0,2024-05-04,18,2024
"419","MD",0,2024-05-18,20,2024
"420","MD",0,2024-06-01,22,2024
"421","MD",0,2024-06-15,24,2024
"422","MD",1,2022-12-31,53,2022
"423","MD",1,2023-01-14,3,2023
"424","MD",1,2023-01-28,5,2023
"425","MD",1,2023-02-11,7,2023
"426","MD",1,2023-02-25,9,2023
"427","MD",1,2023-03-11,11,2023
"428","MD",0,2023-03-25,13,2023
"429","MD",0,2023-04-08,15,2023
"430","MD",0,2023-04-22,17,2023
"431","MD",0,2023-05-06,19,2023
"432","MD",0,2023-05-20,21,2023
"433","MD",0,2023-06-03,23,2023
"434","MD",0,2023-06-17,25,2023
"435","MD",0,2023-07-01,27,2023
"436","MD",0,2023-07-15,29,2023
"437","MD",0,2023-07-29,31,2023
"438","MI",0,2022-06-11,24,2022
"439","MI",1,2022-06-25,26,2022
"440","MI",1,2022-07-09,28,2022
"441","MI",1,2022-07-23,30,2022
"442","MI",1,2022-08-06,32,2022
"443","MI",1,2022-08-20,34,2022
"444","MI",1,2022-09-03,36,2022
"445","MI",0,2022-09-17,38,2022
"446","MI",0,2022-10-01,40,2022
"447","MI",0,2022-10-15,42,2022
"448","MI",0,2022-10-29,44,2022
"449","MI",0,2022-11-12,46,2022
"450","MI",0,2022-11-26,48,2022
"451","MI",0,2022-12-10,50,2022
"452","MI",0,2022-12-24,52,2022
"453","MI",0,2023-01-07,2,2023
"454","MI",0,2023-12-09,50,2023
"455","MI",1,2023-12-23,52,2023
"456","MI",1,2024-01-06,1,2024
"457","MI",1,2024-01-20,3,2024
"458","MI",0,2024-02-03,5,2024
"459","MI",0,2024-02-17,7,2024
"460","MI",0,2024-03-02,9,2024
"461","MI",0,2024-03-16,11,2024
"462","MI",0,2024-03-30,13,2024
"463","MI",0,2024-04-13,15,2024
"464","MI",0,2024-04-27,17,2024
"465","MI",0,2024-05-11,19,2024
"466","MI",0,2024-06-08,23,2024
"467","MI",0,2024-06-22,25,2024
"468","MI",0,2023-01-21,4,2023
"469","MI",1,2023-02-04,6,2023
"470","MI",1,2023-02-18,8,2023
"471","MI",1,2023-03-04,10,2023
"472","MI",1,2023-03-18,12,2023
"473","MI",0,2023-04-01,14,2023
"474","MI",0,2023-04-15,16,2023
"475","MI",0,2023-04-29,18,2023
"476","MI",0,2023-05-13,20,2023
"477","MI",0,2023-05-27,22,2023
"478","MI",0,2023-06-10,24,2023
"479","MI",0,2023-06-24,26,2023
"480","MI",0,2023-07-08,28,2023
"481","MI",0,2023-07-22,30,2023
"482","MI",0,2023-08-05,32,2023
"483","MI",1,2022-06-18,25,2022
"484","MI",1,2022-07-02,27,2022
"485","MI",1,2022-07-16,29,2022
"486","MI",1,2022-07-30,31,2022
"487","MI",1,2022-08-13,33,2022
"488","MI",1,2022-08-27,35,2022
"489","MI",0,2022-09-10,37,2022
"490","MI",0,2022-09-24,39,2022
"491","MI",0,2022-10-08,41,2022
"492","MI",0,2022-10-22,43,2022
"493","MI",0,2022-11-05,45,2022
"494","MI",0,2022-11-19,47,2022
"495","MI",0,2022-12-03,49,2022
"496","MI",0,2022-12-17,51,2022
"497","MI",0,2022-12-31,53,2022
"498","MI",1,2023-12-16,51,2023
"499","MI",1,2023-12-30,53,2023
"500","MI",1,2024-01-13,2,2024
"501","MI",1,2024-01-27,4,2024
"502","MI",0,2024-02-10,6,2024
"503","MI",0,2024-02-24,8,2024
"504","MI",0,2024-03-09,10,2024
"505","MI",0,2024-03-23,12,2024
"506","MI",0,2024-04-06,14,2024
"507","MI",0,2024-04-20,16,2024
"508","MI",0,2024-05-04,18,2024
"509","MI",0,2024-06-01,22,2024
"510","MI",0,2024-06-15,24,2024
"511","MI",1,2023-01-28,5,2023
"512","MI",1,2023-02-11,7,2023
"513","MI",1,2023-02-25,9,2023
"514","MI",1,2023-03-11,11,2023
"515","MI",1,2023-03-25,13,2023
"516","MI",0,2023-04-08,15,2023
"517","MI",0,2023-04-22,17,2023
"518","MI",0,2023-05-06,19,2023
"519","MI",0,2023-05-20,21,2023
"520","MI",0,2023-06-03,23,2023
"521","MI",0,2023-06-17,25,2023
"522","MI",0,2023-07-01,27,2023
"523","MI",0,2023-07-15,29,2023
"524","MI",0,2023-07-29,31,2023
"525","MN",0,2022-06-11,24,2022
"526","MN",1,2022-06-25,26,2022
"527","MN",1,2022-07-09,28,2022
"528","MN",1,2022-07-23,30,2022
"529","MN",1,2022-08-06,32,2022
"530","MN",1,2022-08-20,34,2022
"531","MN",1,2022-09-03,36,2022
"532","MN",0,2022-09-17,38,2022
"533","MN",0,2022-10-01,40,2022
"534","MN",0,2022-10-15,42,2022
"535","MN",0,2022-10-29,44,2022
"536","MN",0,2022-11-12,46,2022
"537","MN",0,2022-11-26,48,2022
"538","MN",0,2022-12-10,50,2022
"539","MN",0,2022-12-24,52,2022
"540","MN",0,2023-01-07,2,2023
"541","MN",0,2023-12-09,50,2023
"542","MN",1,2023-12-23,52,2023
"543","MN",1,2024-01-06,1,2024
"544","MN",1,2024-01-20,3,2024
"545","MN",0,2024-02-03,5,2024
"546","MN",0,2024-02-17,7,2024
"547","MN",0,2024-03-02,9,2024
"548","MN",0,2024-03-16,11,2024
"549","MN",0,2024-03-30,13,2024
"550","MN",0,2024-04-13,15,2024
"551","MN",0,2024-04-27,17,2024
"552","MN",0,2024-05-11,19,2024
"553","MN",0,2024-06-08,23,2024
"554","MN",0,2024-06-22,25,2024
"555","MN",0,2023-01-21,4,2023
"556","MN",1,2023-02-04,6,2023
"557","MN",1,2023-02-18,8,2023
"558","MN",1,2023-03-04,10,2023
"559","MN",1,2023-03-18,12,2023
"560","MN",0,2023-04-01,14,2023
"561","MN",0,2023-04-15,16,2023
"562","MN",0,2023-04-29,18,2023
"563","MN",0,2023-05-13,20,2023
"564","MN",0,2023-05-27,22,2023
"565","MN",0,2023-06-10,24,2023
"566","MN",0,2023-06-24,26,2023
"567","MN",0,2023-07-08,28,2023
"568","MN",0,2023-07-22,30,2023
"569","MN",0,2023-08-05,32,2023
"570","MN",1,2022-06-18,25,2022
"571","MN",1,2022-07-02,27,2022
"572","MN",1,2022-07-16,29,2022
"573","MN",1,2022-07-30,31,2022
"574","MN",1,2022-08-13,33,2022
"575","MN",1,2022-08-27,35,2022
"576","MN",0,2022-09-10,37,2022
"577","MN",0,2022-09-24,39,2022
"578","MN",0,2022-10-08,41,2022
"579","MN",0,2022-10-22,43,2022
"580","MN",0,2022-11-05,45,2022
"581","MN",0,2022-11-19,47,2022
"582","MN",0,2022-12-03,49,2022
"583","MN",0,2022-12-17,51,2022
"584","MN",0,2022-12-31,53,2022
"585","MN",1,2023-12-16,51,2023
"586","MN",1,2023-12-30,53,2023
"587","MN",1,2024-01-13,2,2024
"588","MN",1,2024-01-27,4,2024
"589","MN",0,2024-02-10,6,2024
"590","MN",0,2024-02-24,8,2024
"591","MN",0,2024-03-09,10,2024
"592","MN",0,2024-03-23,12,2024
"593","MN",0,2024-04-06,14,2024
"594","MN",0,2024-04-20,16,2024
"595","MN",0,2024-05-04,18,2024
"596","MN",0,2024-06-01,22,2024
"597","MN",0,2024-06-15,24,2024
"598","MN",1,2023-01-28,5,2023
"599","MN",1,2023-02-11,7,2023
"600","MN",1,2023-02-25,9,2023
"601","MN",1,2023-03-11,11,2023
"602","MN",1,2023-03-25,13,2023
"603","MN",0,2023-04-08,15,2023
"604","MN",0,2023-04-22,17,2023
"605","MN",0,2023-05-06,19,2023
"606","MN",0,2023-05-20,21,2023
"607","MN",0,2023-06-03,23,2023
"608","MN",0,2023-06-17,25,2023
"609","MN",0,2023-07-01,27,2023
"610","MN",0,2023-07-15,29,2023
"611","MN",0,2023-07-29,31,2023
"612","NM",0,2022-06-11,24,2022
"613","NM",1,2022-06-25,26,2022
"614","NM",1,2022-07-09,28,2022
"615","NM",1,2022-07-23,30,2022
"616","NM",1,2022-08-06,32,2022
"617","NM",1,2022-08-20,34,2022
"618","NM",0,2022-09-03,36,2022
"619","NM",0,2022-09-17,38,2022
"620","NM",0,2022-10-01,40,2022
"621","NM",0,2022-10-15,42,2022
"622","NM",0,2022-10-29,44,2022
"623","NM",0,2022-11-12,46,2022
"624","NM",0,2022-11-26,48,2022
"625","NM",0,2022-12-10,50,2022
"626","NM",0,2022-12-24,52,2022
"627","NM",0,2023-12-09,50,2023
"628","NM",1,2023-12-23,52,2023
"629","NM",1,2024-01-06,1,2024
"630","NM",1,2024-01-20,3,2024
"631","NM",0,2024-02-03,5,2024
"632","NM",0,2024-02-17,7,2024
"633","NM",0,2024-03-02,9,2024
"634","NM",0,2024-03-16,11,2024
"635","NM",0,2024-03-30,13,2024
"636","NM",0,2024-04-13,15,2024
"637","NM",0,2024-04-27,17,2024
"638","NM",0,2024-05-11,19,2024
"639","NM",0,2024-05-25,21,2024
"640","NM",0,2024-06-08,23,2024
"641","NM",0,2024-06-22,25,2024
"642","NM",0,2023-01-07,2,2023
"643","NM",1,2023-01-21,4,2023
"644","NM",1,2023-02-04,6,2023
"645","NM",1,2023-02-18,8,2023
"646","NM",1,2023-03-04,10,2023
"647","NM",1,2023-03-18,12,2023
"648","NM",1,2023-04-01,14,2023
"649","NM",0,2023-04-15,16,2023
"650","NM",0,2023-04-29,18,2023
"651","NM",0,2023-05-13,20,2023
"652","NM",0,2023-05-27,22,2023
"653","NM",0,2023-06-10,24,2023
"654","NM",0,2023-06-24,26,2023
"655","NM",0,2023-07-08,28,2023
"656","NM",0,2023-07-22,30,2023
"657","NM",0,2023-08-05,32,2023
"658","NM",0,2023-08-19,34,2023
"659","NM",1,2022-06-18,25,2022
"660","NM",1,2022-07-02,27,2022
"661","NM",1,2022-07-16,29,2022
"662","NM",1,2022-07-30,31,2022
"663","NM",1,2022-08-13,33,2022
"664","NM",1,2022-08-27,35,2022
"665","NM",0,2022-09-10,37,2022
"666","NM",0,2022-09-24,39,2022
"667","NM",0,2022-10-08,41,2022
"668","NM",0,2022-10-22,43,2022
"669","NM",0,2022-11-05,45,2022
"670","NM",0,2022-11-19,47,2022
"671","NM",0,2022-12-03,49,2022
"672","NM",0,2022-12-17,51,2022
"673","NM",1,2023-12-16,51,2023
"674","NM",1,2023-12-30,53,2023
"675","NM",1,2024-01-13,2,2024
"676","NM",1,2024-01-27,4,2024
"677","NM",0,2024-02-10,6,2024
"678","NM",0,2024-02-24,8,2024
"679","NM",0,2024-03-09,10,2024
"680","NM",0,2024-03-23,12,2024
"681","NM",0,2024-04-06,14,2024
"682","NM",0,2024-04-20,16,2024
"683","NM",0,2024-05-04,18,2024
"684","NM",0,2024-05-18,20,2024
"685","NM",0,2024-06-01,22,2024
"686","NM",0,2024-06-15,24,2024
"687","NM",1,2023-01-14,3,2023
"688","NM",1,2023-01-28,5,2023
"689","NM",1,2023-02-11,7,2023
"690","NM",1,2023-02-25,9,2023
"691","NM",1,2023-03-11,11,2023
"692","NM",1,2023-03-25,13,2023
"693","NM",0,2023-04-08,15,2023
"694","NM",0,2023-04-22,17,2023
"695","NM",0,2023-05-06,19,2023
"696","NM",0,2023-05-20,21,2023
"697","NM",0,2023-06-03,23,2023
"698","NM",0,2023-06-17,25,2023
